id,slug,business_name,sector,tier,address,phone,website,has_website,rating,reviews,email,owner_name,facebook,instagram,demo_built,demo_url,status,notes
s01,oso-tours-aruba,Oso Tours Aruba,Tours & Watersports,A,,,,Unverified,,,,,,,,,Not started,"Private jeep tours. Small operator - prime target. Routes bookings via Viator/WhatsApp."
s02,rockabeach-tours,RockaBeach Tours,Tours & Watersports,A,,,,Unverified,,,,,,,,,Not started,"UTV/jeep safaris. Small operator - prime target."
s03,aruba-ariba,Aruba Ariba,Tours & Watersports,A,,,,Unverified,,,,,,,,,Not started,"UTV/jeep safaris. Small operator - prime target."
s04,around-aruba-tours,Around Aruba Tours,Tours & Watersports,A,,,,Unverified,,,,,,,,,Not started,"Jeep safaris + transfers. Small operator - prime target."
s05,aruba-bob-snorkeling,Aruba Bob Snorkeling,Tours & Watersports,A,,,,Unverified,,,,,,,,,Not started,"Snorkel & scuba. Small operator - prime target."
s06,delphi-watersports,Delphi Watersports,Tours & Watersports,A,,,,Unverified,,,,,,,,,Not started,"Snorkeling. Small operator - prime target."
s07,native-divers-aruba,Native Divers Aruba,Tours & Watersports,A,,,,Unverified,,,,,,,,,Not started,"Scuba diving. Small operator - prime target."
s08,octopus-sailing,Octopus Sailing,Tours & Watersports,A,,,,Unverified,,,,,,,,,Not started,"Catamaran & sailing. Mid-size - check for existing site first."
s09,jads-dive-center,JADS Dive Center,Tours & Watersports,A,,,,Unverified,,,,,,,,,Not started,"Snorkel & scuba, San Nicolas side. Mid-size."
s10,the-gold-mine-ranch,The Gold Mine Ranch,Tours & Watersports,A,,,,Unverified,,,,,,,,,Not started,"Horseback riding. Small operator - prime target."
s11,rancho-loco,Rancho Loco,Tours & Watersports,A,,,,Unverified,,,,,,,,,Not started,"Horseback riding. Small operator - prime target."
s12,rancho-notorious,Rancho Notorious,Tours & Watersports,A,,,,Unverified,,,,,,,,,Not started,"Horseback riding. Small operator - prime target."
s13,aruba-nature-adventures,Aruba Nature Adventures,Tours & Watersports,A,,,,Unverified,,,,,,,,,Not started,"Multiple tours. Small-mid operator."
s14,platinum-aruba-transport,Platinum Aruba Transport,Auto / Car Rental,B,,,,Unverified,,,,,,,,,Not started,"Airport transfers + cruise excursions. Tourist-facing, good ROI story."
s15,abc-tours,ABC Tours,Tours & Watersports,C,,,,Unverified,,,,,,,,,Not started,"SKIP LIKELY - established UTV/jeep operator, almost certainly has a site."
s16,de-palm-tours,De Palm Tours,Tours & Watersports,C,,,,Unverified,,,,,,,,,Not started,"SKIP - large established operator, own island. Has a site."
s17,pelican-aruba,Pelican Aruba,Tours & Watersports,C,,,,Unverified,,,,,,,,,Not started,"SKIP LIKELY - large catamaran operator."
s18,jolly-pirates,Jolly Pirates,Tours & Watersports,C,,,,Unverified,,,,,,,,,Not started,"SKIP LIKELY - large well-known catamaran operator."
s19,red-sail-sports,Red Sail Sports,Tours & Watersports,C,,,,Unverified,,,,,,,,,Not started,"SKIP - international chain, resort-affiliated."
